cla_id,cla_Name,mes_StudentID,course_id,sub_1,sub_2,sub_3
916,高三(02),13948,256,政治,物理,化学
916,高三(02),13949,156,地理,物理,化学
916,高三(02),13955,580,物理,历史,
916,高三(02),13957,560,物理,化学,
916,高三(02),13959,156,地理,物理,化学
916,高三(02),13963,457,技术,物理,生物
916,高三(02),13965,150,地理,物理,
916,高三(02),13966,567,物理,化学,生物
916,高三(02),13972,145,地理,技术,物理
916,高三(02),13975,567,物理,化学,生物
916,高三(02),13977,567,物理,化学,生物
916,高三(02),13980,156,地理,物理,化学
916,高三(02),13983,567,物理,化学,生物
916,高三(02),14001,156,地理,物理,化学
916,高三(02),14002,567,物理,化学,生物
916,高三(02),14012,256,政治,物理,化学
916,高三(02),14020,256,政治,物理,化学
916,高三(02),14022,267,政治,化学,生物
916,高三(02),14026,567,物理,化学,生物
916,高三(02),14033,167,地理,化学,生物
916,高三(02),14035,567,物理,化学,生物
916,高三(02),14036,256,政治,物理,化学
916,高三(02),14040,456,技术,物理,化学
916,高三(02),14052,157,地理,物理,生物
916,高三(02),14057,567,物理,化学,生物
916,高三(02),14058,256,政治,物理,化学
916,高三(02),14059,456,技术,物理,化学
916,高三(02),14073,156,地理,物理,化学
916,高三(02),14092,568,物理,化学,历史
916,高三(02),14098,125,地理,政治,物理
916,高三(02),14100,567,物理,化学,生物
916,高三(02),14110,567,物理,化学,生物
916,高三(02),14114,567,物理,化学,生物
916,高三(02),14128,256,政治,物理,化学
916,高三(02),14133,457,技术,物理,生物
916,高三(02),14145,256,政治,物理,化学
916,高三(02),14181,567,物理,化学,生物
916,高三(02),14302,567,物理,化学,生物
916,高三(02),14344,567,物理,化学,生物
916,高三(02),14371,567,物理,化学,生物
917,高三(03),13968,567,物理,化学,生物
917,高三(03),14053,167,地理,化学,生物
917,高三(03),14054,268,政治,化学,历史
917,高三(03),14066,456,技术,物理,化学
917,高三(03),14068,456,技术,物理,化学
917,高三(03),14082,568,物理,化学,历史
917,高三(03),14095,456,技术,物理,化学
917,高三(03),14097,157,地理,物理,生物
917,高三(03),14106,567,物理,化学,生物
917,高三(03),14112,256,政治,物理,化学
917,高三(03),14123,157,地理,物理,生物
917,高三(03),14130,267,政治,化学,生物
917,高三(03),14156,147,地理,技术,生物
917,高三(03),14159,567,物理,化学,生物
917,高三(03),14168,147,地理,技术,生物
917,高三(03),14174,456,技术,物理,化学
917,高三(03),14179,167,地理,化学,生物
917,高三(03),14183,456,技术,物理,化学
917,高三(03),14187,567,物理,化学,生物
917,高三(03),14202,256,政治,物理,化学
917,高三(03),14207,457,技术,物理,生物
917,高三(03),14209,567,物理,化学,生物
917,高三(03),14210,567,物理,化学,生物
917,高三(03),14247,678,化学,生物,历史
917,高三(03),14249,570,物理,生物,
917,高三(03),14252,456,技术,物理,化学
917,高三(03),14257,256,政治,物理,化学
917,高三(03),14259,178,地理,生物,历史
917,高三(03),14260,156,地理,物理,化学
917,高三(03),14267,246,政治,技术,化学
917,高三(03),14287,268,政治,化学,历史
917,高三(03),14288,148,地理,技术,历史
917,高三(03),14290,145,地理,技术,物理
917,高三(03),14295,567,物理,化学,生物
917,高三(03),14305,146,地理,技术,化学
917,高三(03),14315,157,地理,物理,生物
917,高三(03),14321,457,技术,物理,生物
917,高三(03),14327,456,技术,物理,化学
917,高三(03),14337,145,地理,技术,物理
917,高三(03),14339,157,地理,物理,生物
918,高三(04),13953,467,技术,化学,生物
918,高三(04),13970,568,物理,化学,历史
918,高三(04),13986,456,技术,物理,化学
918,高三(04),13988,567,物理,化学,生物
918,高三(04),13993,567,物理,化学,生物
918,高三(04),14016,567,物理,化学,生物
918,高三(04),14045,567,物理,化学,生物
918,高三(04),14064,257,政治,物理,生物
918,高三(04),14069,145,地理,技术,物理
918,高三(04),14075,456,技术,物理,化学
918,高三(04),14084,156,地理,物理,化学
918,高三(04),14091,567,物理,化学,生物
918,高三(04),14099,467,技术,化学,生物
918,高三(04),14103,258,政治,物理,历史
918,高三(04),14107,567,物理,化学,生物
918,高三(04),14122,156,地理,物理,化学
918,高三(04),14126,567,物理,化学,生物
918,高三(04),14157,568,物理,化学,历史
918,高三(04),14191,567,物理,化学,生物
918,高三(04),14208,467,技术,化学,生物
918,高三(04),14223,567,物理,化学,生物
918,高三(04),14232,125,地理,政治,物理
918,高三(04),14234,456,技术,物理,化学
918,高三(04),14236,457,技术,物理,生物
918,高三(04),14240,157,地理,物理,生物
918,高三(04),14266,126,地理,政治,化学
918,高三(04),14270,567,物理,化学,生物
918,高三(04),14276,124,地理,政治,技术
918,高三(04),14278,457,技术,物理,生物
918,高三(04),14279,567,物理,化学,生物
918,高三(04),14286,245,政治,技术,物理
918,高三(04),14293,156,地理,物理,化学
918,高三(04),14296,156,地理,物理,化学
918,高三(04),14299,156,地理,物理,化学
918,高三(04),14301,567,物理,化学,生物
918,高三(04),14307,157,地理,物理,生物
918,高三(04),14310,568,物理,化学,历史
918,高三(04),14319,167,地理,化学,生物
918,高三(04),14320,256,政治,物理,化学
918,高三(04),14349,245,政治,技术,物理
918,高三(04),14352,567,物理,化学,生物
918,高三(04),14356,148,地理,技术,历史
918,高三(04),14364,457,技术,物理,生物
918,高三(04),14368,156,地理,物理,化学
919,高三(07),14007,257,政治,物理,生物
919,高三(07),14011,458,技术,物理,历史
919,高三(07),14013,670,化学,生物,
919,高三(07),14014,157,地理,物理,生物
919,高三(07),14043,167,地理,化学,生物
919,高三(07),14044,157,地理,物理,生物
919,高三(07),14051,457,技术,物理,生物
919,高三(07),14061,267,政治,化学,生物
919,高三(07),14067,128,地理,政治,历史
919,高三(07),14079,157,地理,物理,生物
919,高三(07),14090,157,地理,物理,生物
919,高三(07),14125,147,地理,技术,生物
919,高三(07),14132,146,地理,技术,化学
919,高三(07),14135,457,技术,物理,生物
919,高三(07),14136,457,技术,物理,生物
919,高三(07),14139,157,地理,物理,生物
919,高三(07),14144,567,物理,化学,生物
919,高三(07),14153,270,政治,生物,
919,高三(07),14177,567,物理,化学,生物
919,高三(07),14178,456,技术,物理,化学
919,高三(07),14184,678,化学,生物,历史
919,高三(07),14200,156,地理,物理,化学
919,高三(07),14206,456,技术,物理,化学
919,高三(07),14211,458,技术,物理,历史
919,高三(07),14222,567,物理,化学,生物
919,高三(07),14245,567,物理,化学,生物
919,高三(07),14251,178,地理,生物,历史
919,高三(07),14253,567,物理,化学,生物
919,高三(07),14258,456,技术,物理,化学
919,高三(07),14281,146,地理,技术,化学
919,高三(07),14291,148,地理,技术,历史
919,高三(07),14297,478,技术,生物,历史
919,高三(07),14313,670,化学,生物,
919,高三(07),14324,145,地理,技术,物理
919,高三(07),14326,257,政治,物理,生物
919,高三(07),14342,567,物理,化学,生物
919,高三(07),14347,146,地理,技术,化学
919,高三(07),14348,267,政治,化学,生物
919,高三(07),14361,247,政治,技术,生物
919,高三(07),14362,157,地理,物理,生物
920,高三(08),14009,158,地理,物理,历史
920,高三(08),14018,278,政治,生物,历史
920,高三(08),14027,247,政治,技术,生物
920,高三(08),14032,127,地理,政治,生物
920,高三(08),14060,148,地理,技术,历史
920,高三(08),14071,178,地理,生物,历史
920,高三(08),14072,124,地理,政治,技术
920,高三(08),14109,247,政治,技术,生物
920,高三(08),14116,160,地理,化学,
920,高三(08),14120,156,地理,物理,化学
920,高三(08),14124,467,技术,化学,生物
920,高三(08),14129,157,地理,物理,生物
920,高三(08),14151,278,政治,生物,历史
920,高三(08),14164,580,物理,历史,
920,高三(08),14170,157,地理,物理,生物
920,高三(08),14171,167,地理,化学,生物
920,高三(08),14175,457,技术,物理,生物
920,高三(08),14190,127,地理,政治,生物
920,高三(08),14193,145,地理,技术,物理
920,高三(08),14195,157,地理,物理,生物
920,高三(08),14196,268,政治,化学,历史
920,高三(08),14203,124,地理,政治,技术
920,高三(08),14204,124,地理,政治,技术
920,高三(08),14214,247,政治,技术,生物
920,高三(08),14216,146,地理,技术,化学
920,高三(08),14219,678,化学,生物,历史
920,高三(08),14241,145,地理,技术,物理
920,高三(08),14269,167,地理,化学,生物
920,高三(08),14273,247,政治,技术,生物
920,高三(08),14274,278,政治,生物,历史
920,高三(08),14275,167,地理,化学,生物
920,高三(08),14277,147,地理,技术,生物
920,高三(08),14282,126,地理,政治,化学
920,高三(08),14284,125,地理,政治,物理
920,高三(08),14304,457,技术,物理,生物
920,高三(08),14308,158,地理,物理,历史
920,高三(08),14311,467,技术,化学,生物
920,高三(08),14330,150,地理,物理,
920,高三(08),14334,167,地理,化学,生物
920,高三(08),14353,257,政治,物理,生物
920,高三(08),14355,478,技术,生物,历史
920,高三(08),14360,457,技术,物理,生物
920,高三(08),14376,124,地理,政治,技术
920,高三(08),14377,145,地理,技术,物理
921,高三(01),13947,578,物理,生物,历史
921,高三(01),13950,156,地理,物理,化学
921,高三(01),13951,156,地理,物理,化学
921,高三(01),13952,150,地理,物理,
921,高三(01),13958,467,技术,化学,生物
921,高三(01),13964,456,技术,物理,化学
921,高三(01),13969,570,物理,生物,
921,高三(01),13974,156,地理,物理,化学
921,高三(01),13976,157,地理,物理,生物
921,高三(01),13978,578,物理,生物,历史
921,高三(01),13981,567,物理,化学,生物
921,高三(01),13982,156,地理,物理,化学
921,高三(01),13985,567,物理,化学,生物
921,高三(01),13987,567,物理,化学,生物
921,高三(01),13995,160,地理,化学,
921,高三(01),13996,456,技术,物理,化学
921,高三(01),13997,567,物理,化学,生物
921,高三(01),13999,156,地理,物理,化学
921,高三(01),14003,157,地理,物理,生物
921,高三(01),14005,567,物理,化学,生物
921,高三(01),14021,278,政治,生物,历史
921,高三(01),14024,567,物理,化学,生物
921,高三(01),14025,567,物理,化学,生物
921,高三(01),14030,125,地理,政治,物理
921,高三(01),14039,560,物理,化学,
921,高三(01),14041,156,地理,物理,化学
921,高三(01),14048,157,地理,物理,生物
921,高三(01),14083,567,物理,化学,生物
921,高三(01),14085,567,物理,化学,生物
921,高三(01),14111,456,技术,物理,化学
921,高三(01),14137,567,物理,化学,生物
921,高三(01),14142,156,地理,物理,化学
921,高三(01),14146,456,技术,物理,化学
921,高三(01),14152,257,政治,物理,生物
921,高三(01),14188,567,物理,化学,生物
921,高三(01),14212,567,物理,化学,生物
921,高三(01),14218,456,技术,物理,化学
921,高三(01),14221,567,物理,化学,生物
921,高三(01),14237,145,地理,技术,物理
921,高三(01),14262,257,政治,物理,生物
921,高三(01),14280,567,物理,化学,生物
921,高三(01),14340,156,地理,物理,化学
922,高三(05),13998,128,地理,政治,历史
922,高三(05),14010,567,物理,化学,生物
922,高三(05),14023,457,技术,物理,生物
922,高三(05),14034,570,物理,生物,
922,高三(05),14049,570,物理,生物,
922,高三(05),14062,147,地理,技术,生物
922,高三(05),14065,567,物理,化学,生物
922,高三(05),14093,257,政治,物理,生物
922,高三(05),14096,145,地理,技术,物理
922,高三(05),14101,157,地理,物理,生物
922,高三(05),14105,245,政治,技术,物理
922,高三(05),14108,145,地理,技术,物理
922,高三(05),14113,157,地理,物理,生物
922,高三(05),14131,146,地理,技术,化学
922,高三(05),14158,456,技术,物理,化学
922,高三(05),14165,578,物理,生物,历史
922,高三(05),14192,456,技术,物理,化学
922,高三(05),14201,456,技术,物理,化学
922,高三(05),14213,156,地理,物理,化学
922,高三(05),14217,456,技术,物理,化学
922,高三(05),14226,456,技术,物理,化学
922,高三(05),14235,156,地理,物理,化学
922,高三(05),14238,567,物理,化学,生物
922,高三(05),14283,247,政治,技术,生物
922,高三(05),14285,157,地理,物理,生物
922,高三(05),14300,567,物理,化学,生物
922,高三(05),14303,156,地理,物理,化学
922,高三(05),14306,156,地理,物理,化学
922,高三(05),14309,456,技术,物理,化学
922,高三(05),14312,570,物理,生物,
922,高三(05),14314,156,地理,物理,化学
922,高三(05),14317,157,地理,物理,生物
922,高三(05),14318,157,地理,物理,生物
922,高三(05),14322,467,技术,化学,生物
922,高三(05),14323,145,地理,技术,物理
922,高三(05),14333,157,地理,物理,生物
922,高三(05),14338,145,地理,技术,物理
922,高三(05),14350,456,技术,物理,化学
922,高三(05),14365,257,政治,物理,生物
922,高三(05),14366,168,地理,化学,历史
922,高三(05),14367,456,技术,物理,化学
922,高三(05),14374,127,地理,政治,生物
922,高三(05),14375,145,地理,技术,物理
922,高三(05),14378,456,技术,物理,化学
923,高三(09),13961,268,政治,化学,历史
923,高三(09),13979,168,地理,化学,历史
923,高三(09),13989,678,化学,生物,历史
923,高三(09),13994,267,政治,化学,生物
923,高三(09),14008,257,政治,物理,生物
923,高三(09),14015,578,物理,生物,历史
923,高三(09),14063,178,地理,生物,历史
923,高三(09),14076,267,政治,化学,生物
923,高三(09),14077,267,政治,化学,生物
923,高三(09),14081,128,地理,政治,历史
923,高三(09),14086,167,地理,化学,生物
923,高三(09),14102,267,政治,化学,生物
923,高三(09),14117,678,化学,生物,历史
923,高三(09),14118,267,政治,化学,生物
923,高三(09),14119,127,地理,政治,生物
923,高三(09),14149,278,政治,生物,历史
923,高三(09),14154,267,政治,化学,生物
923,高三(09),14160,257,政治,物理,生物
923,高三(09),14166,478,技术,生物,历史
923,高三(09),14167,178,地理,生物,历史
923,高三(09),14172,678,化学,生物,历史
923,高三(09),14176,126,地理,政治,化学
923,高三(09),14198,678,化学,生物,历史
923,高三(09),14205,157,地理,物理,生物
923,高三(09),14228,267,政治,化学,生物
923,高三(09),14231,167,地理,化学,生物
923,高三(09),14233,267,政治,化学,生物
923,高三(09),14243,678,化学,生物,历史
923,高三(09),14263,127,地理,政治,生物
923,高三(09),14264,278,政治,生物,历史
923,高三(09),14265,128,地理,政治,历史
923,高三(09),14289,170,地理,生物,
923,高三(09),14331,127,地理,政治,生物
923,高三(09),14343,267,政治,化学,生物
923,高三(09),14346,467,技术,化学,生物
923,高三(09),14357,257,政治,物理,生物
923,高三(09),14359,267,政治,化学,生物
923,高三(09),14363,120,地理,政治,
923,高三(09),14370,257,政治,物理,生物
924,高三(06),13599,156,地理,物理,化学
924,高三(06),13685,458,技术,物理,历史
924,高三(06),13960,568,物理,化学,历史
924,高三(06),13992,156,地理,物理,化学
924,高三(06),14017,156,地理,物理,化学
924,高三(06),14028,257,政治,物理,生物
924,高三(06),14038,256,政治,物理,化学
924,高三(06),14042,178,地理,生物,历史
924,高三(06),14056,156,地理,物理,化学
924,高三(06),14070,146,地理,技术,化学
924,高三(06),14074,268,政治,化学,历史
924,高三(06),14078,268,政治,化学,历史
924,高三(06),14080,678,化学,生物,历史
924,高三(06),14088,127,地理,政治,生物
924,高三(06),14094,156,地理,物理,化学
924,高三(06),14104,156,地理,物理,化学
924,高三(06),14127,147,地理,技术,生物
924,高三(06),14134,156,地理,物理,化学
924,高三(06),14138,126,地理,政治,化学
924,高三(06),14140,568,物理,化学,历史
924,高三(06),14141,156,地理,物理,化学
924,高三(06),14147,567,物理,化学,生物
924,高三(06),14161,568,物理,化学,历史
924,高三(06),14162,167,地理,化学,生物
924,高三(06),14169,168,地理,化学,历史
924,高三(06),14173,125,地理,政治,物理
924,高三(06),14180,145,地理,技术,物理
924,高三(06),14182,147,地理,技术,生物
924,高三(06),14194,456,技术,物理,化学
924,高三(06),14199,567,物理,化学,生物
924,高三(06),14220,560,物理,化学,
924,高三(06),14230,578,物理,生物,历史
924,高三(06),14242,168,地理,化学,历史
924,高三(06),14248,126,地理,政治,化学
924,高三(06),14268,267,政治,化学,生物
924,高三(06),14272,158,地理,物理,历史
924,高三(06),14292,268,政治,化学,历史
924,高三(06),14325,567,物理,化学,生物
924,高三(06),14335,578,物理,生物,历史
924,高三(06),14336,567,物理,化学,生物
924,高三(06),14351,678,化学,生物,历史
924,高三(06),14449,167,地理,化学,生物
925,高三(10),13564,124,地理,政治,技术
925,高三(10),13973,670,化学,生物,
925,高三(10),13984,278,政治,生物,历史
925,高三(10),13990,128,地理,政治,历史
925,高三(10),14000,467,技术,化学,生物
925,高三(10),14004,268,政治,化学,历史
925,高三(10),14019,278,政治,生物,历史
925,高三(10),14029,178,地理,生物,历史
925,高三(10),14047,678,化学,生物,历史
925,高三(10),14087,267,政治,化学,生物
925,高三(10),14115,125,地理,政治,物理
925,高三(10),14121,157,地理,物理,生物
925,高三(10),14143,267,政治,化学,生物
925,高三(10),14150,148,地理,技术,历史
925,高三(10),14155,278,政治,生物,历史
925,高三(10),14163,127,地理,政治,生物
925,高三(10),14185,468,技术,化学,历史
925,高三(10),14186,127,地理,政治,生物
925,高三(10),14197,145,地理,技术,物理
925,高三(10),14215,178,地理,生物,历史
925,高三(10),14224,268,政治,化学,历史
925,高三(10),14225,678,化学,生物,历史
925,高三(10),14227,245,政治,技术,物理
925,高三(10),14229,157,地理,物理,生物
925,高三(10),14250,127,地理,政治,生物
925,高三(10),14254,678,化学,生物,历史
925,高三(10),14255,278,政治,生物,历史
925,高三(10),14256,167,地理,化学,生物
925,高三(10),14261,145,地理,技术,物理
925,高三(10),14271,247,政治,技术,生物
925,高三(10),14294,156,地理,物理,化学
925,高三(10),14298,267,政治,化学,生物
925,高三(10),14316,126,地理,政治,化学
925,高三(10),14329,278,政治,生物,历史
925,高三(10),14332,127,地理,政治,生物
925,高三(10),14341,468,技术,化学,历史
925,高三(10),14345,278,政治,生物,历史
925,高三(10),14354,126,地理,政治,化学
925,高三(10),14358,267,政治,化学,生物
925,高三(10),14450,128,地理,政治,历史
